,date,description,amount
0,,Previous Monthly Balance,0.0
1,2025-07-27,  ACH Deposit Internet transfer from account ending in 0729,1641.84
2,2025-06-30,  LIBERTY MUTUAL 175 BERKELEY ST 888-398-8924 02116 MA USA 1%,367.29
3,2025-06-30,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,40.24
4,2025-07-01,  SQ *SHARE 150 Main Street Northampton 01060 MA USA 2%,7.75
5,2025-07-01,  CVS/PHARMACY #01893 90 MAIN ST NORTHAMPTON 01060 MA USA 1%,6.07
6,2025-07-01,  SHOP THERAPY-NORTHAMPT189 MAIN STREET NORTHAMPTON 01060 MA USA 2%,8.55
7,2025-07-01,  LYFT *1 RIDE 07-01 548 Market St. Ste 68514 SAN FRANCISCO94104 CA USA 2%,15.96
8,2025-07-01,  INN ON BOLTWOOD F&B 30 BOLTWOOD AVENUE AMHERST 01002 MA USA 1%,116.16
9,2025-07-02,  MCDONALDS F35391 374 RUSSELL ST HADLEY 01035 MA USA 2%,4.8
10,2025-07-02,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,17.59
11,2025-07-03,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,4.75
12,2025-07-03,  MYSTERY TRAIN RECORDS 178A N PLEASANT ST CUSHMAN 01002 MA USA 2%,4.25
13,2025-07-08,  CVS/PHARMACY #00818 76 N PLEASANT ST AMHERST 01002 MA USA 2%,7.94
14,2025-07-10,  SQ *ONLY KEBAB LLC 373 Main Street Amherst 01002 MA USA 2%,24.55
15,2025-07-11,  CVS/PHARMACY #00818 76 N PLEASANT ST AMHERST 01002 MA USA 2%,10.12
16,2025-07-11,  BIG Y 46 AMHERST 175 UNIVERSITY DR AMHERST 01002 MA USA 2%,4.22
17,2025-07-11,  ANTONIO S PIZZA 31 NORTH PLEASANT ST AMHERST 01002 MA USA 2%,6.65
18,2025-07-11,  TST*STACKERS PUB 57 North Pleasant Street Amherst 01002 MA USA 1%,17.69
19,2025-07-11,  TST*STACKERS PUB 57 North Pleasant Street Amherst 01002 MA USA 1%,6.0
20,2025-07-11,  TST*STACKERS PUB 57 North Pleasant Street Amherst 01002 MA USA 1%,6.15
21,2025-07-12,  SQ *FAMILIARS COFFEE &6 Strong Ave Northampton 01060 MA USA 2%,42.86
22,2025-07-12,  URBAN OUTFITTERS 00124109 Main Street NORTHAMPTON 01060-3145MA USA 2%,12.75
23,2025-07-13,  JERSEY MIKES 16055 335 RUSSELL S HADLEY 01035 MA USA 2%,25.29
24,2025-07-13,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,73.51
25,2025-07-13,  WAL-MART #2683 337 RUSSELL ST HADLEY 01035 MA USA 1%,22.7
26,2025-07-13,  WHOLEFDS HAD 10012 RT 9 RUSSELL ST HADLEY 01035 MA USA 2%,61.76
27,2025-07-13,  LYFT *1 RIDE 07-13 548 Market St. Ste 68514 SAN FRANCISCO94104 CA USA 2%,9.96
28,2025-07-14,  BYT* PVTA 55 FRANK B. MURRAY ST SPRINGFIELD 01103 MA USA 2%,18.0
29,2025-07-14,  SWEETGREEN BOY 659 Boylston St. BOSTON 02116 MA USA 2%,36.71
30,2025-07-14,  LYFT *3 RIDES 07-14 548 Market St. Ste 68514 SAN FRANCISCO94104 CA USA 2%,69.75
31,2025-07-14,  SQ *BLANK STREET COFFE647 Boylston Street Boston 02116 MA USA 2%,3.13
32,2025-07-15,  PMUSA 717033 UNIVERSIT1100 SPRING ST NW ATLANTA 30309 GA USA 2%,9.2
33,2025-07-15,  SQ *ANA BANDEIRA CHOCO48 Main St Northampton 01060 MA USA 2%,4.55
34,2025-07-15,  AUTOZONE #6494 373 NORTHAMPTON RD AMHERST 10020 NY USA 2%,50.99
35,2025-07-15,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,5.99
36,2025-07-17,  DUNKIN #336815 Q35 312 COLLEGE ST AMHERST 01002 MA USA 2%,5.76
37,2025-07-17,  AMHERST AUTO EXPRESS 118 SOUTH EAST STREET AMHERST 01002 MA USA 2%,35.0
38,2025-07-17,  SHELL OIL 10004579008 95 WEST ST CHICOPEE 01013 MA USA 1%,23.0
39,2025-07-17,  CHICK-FIL-A #03279 501 MEMORIAL DRIVE CHICOPEE 01020 MA USA 2%,14.07
40,2025-07-19,  SHELL OIL 10005423008 144 THORNDIKE STREET PALMER 01069 MA USA 1%,20.07
41,2025-07-19,  IKEA STOUGHTON REST 1 IKEA WAY STOUGHTON 02072 MA USA 2%,35.59
