Unnamed: 0,date,description,amount,label
0,,Previous Monthly Balance,0.0,other
1,2025-07-27,  ACH Deposit Internet transfer from account ending in 0729,1641.84,other
2,2025-06-30,  LIBERTY MUTUAL 175 BERKELEY ST 888-398-8924 02116 MA USA 1%,367.29,utilities
3,2025-06-30,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,40.24,grocery
4,2025-07-01,  SQ *SHARE 150 Main Street Northampton 01060 MA USA 2%,7.75,dining
5,2025-07-01,  CVS/PHARMACY #01893 90 MAIN ST NORTHAMPTON 01060 MA USA 1%,6.07,shopping
6,2025-07-01,  SHOP THERAPY-NORTHAMPT189 MAIN STREET NORTHAMPTON 01060 MA USA 2%,8.55,shopping
7,2025-07-01,  LYFT *1 RIDE 07-01 548 Market St. Ste 68514 SAN FRANCISCO94104 CA USA 2%,15.96,utilities
8,2025-07-01,  INN ON BOLTWOOD F&B 30 BOLTWOOD AVENUE AMHERST 01002 MA USA 1%,116.16,dining
9,2025-07-02,  MCDONALDS F35391 374 RUSSELL ST HADLEY 01035 MA USA 2%,4.8,dining
10,2025-07-02,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,17.59,grocery
11,2025-07-03,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,4.75,dining
12,2025-07-03,  MYSTERY TRAIN RECORDS 178A N PLEASANT ST CUSHMAN 01002 MA USA 2%,4.25,shopping
13,2025-07-08,  CVS/PHARMACY #00818 76 N PLEASANT ST AMHERST 01002 MA USA 2%,7.94,health
14,2025-07-10,  SQ *ONLY KEBAB LLC 373 Main Street Amherst 01002 MA USA 2%,24.55,dining
15,2025-07-11,  CVS/PHARMACY #00818 76 N PLEASANT ST AMHERST 01002 MA USA 2%,10.12,health
16,2025-07-11,  BIG Y 46 AMHERST 175 UNIVERSITY DR AMHERST 01002 MA USA 2%,4.22,dining
17,2025-07-11,  ANTONIO S PIZZA 31 NORTH PLEASANT ST AMHERST 01002 MA USA 2%,6.65,dining
18,2025-07-11,  TST*STACKERS PUB 57 North Pleasant Street Amherst 01002 MA USA 1%,17.69,dining
19,2025-07-11,  TST*STACKERS PUB 57 North Pleasant Street Amherst 01002 MA USA 1%,6.0,dining
20,2025-07-11,  TST*STACKERS PUB 57 North Pleasant Street Amherst 01002 MA USA 1%,6.15,dining
21,2025-07-12,  SQ *FAMILIARS COFFEE &6 Strong Ave Northampton 01060 MA USA 2%,42.86,dining
22,2025-07-12,  URBAN OUTFITTERS 00124109 Main Street NORTHAMPTON 01060-3145MA USA 2%,12.75,shopping
23,2025-07-13,  JERSEY MIKES 16055 335 RUSSELL S HADLEY 01035 MA USA 2%,25.29,dining
24,2025-07-13,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,73.51,grocery
25,2025-07-13,  WAL-MART #2683 337 RUSSELL ST HADLEY 01035 MA USA 1%,22.7,grocery
26,2025-07-13,  WHOLEFDS HAD 10012 RT 9 RUSSELL ST HADLEY 01035 MA USA 2%,61.76,grocery
27,2025-07-13,  LYFT *1 RIDE 07-13 548 Market St. Ste 68514 SAN FRANCISCO94104 CA USA 2%,9.96,utilities
28,2025-07-14,  BYT* PVTA 55 FRANK B. MURRAY ST SPRINGFIELD 01103 MA USA 2%,18.0,utilities
29,2025-07-14,  SWEETGREEN BOY 659 Boylston St. BOSTON 02116 MA USA 2%,36.71,dining
30,2025-07-14,  LYFT *3 RIDES 07-14 548 Market St. Ste 68514 SAN FRANCISCO94104 CA USA 2%,69.75,utilities
31,2025-07-14,  SQ *BLANK STREET COFFE647 Boylston Street Boston 02116 MA USA 2%,3.13,dining
32,2025-07-15,  PMUSA 717033 UNIVERSIT1100 SPRING ST NW ATLANTA 30309 GA USA 2%,9.2,utilities
33,2025-07-15,  SQ *ANA BANDEIRA CHOCO48 Main St Northampton 01060 MA USA 2%,4.55,dining
34,2025-07-15,  AUTOZONE #6494 373 NORTHAMPTON RD AMHERST 10020 NY USA 2%,50.99,shopping
35,2025-07-15,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,5.99,grocery
36,2025-07-17,  DUNKIN #336815 Q35 312 COLLEGE ST AMHERST 01002 MA USA 2%,5.76,dining
