Unnamed: 0,date,description,amount,label
0,,Previous Monthly Balance,0.0,other
1,2025-05-31,  ACH Deposit Internet transfer from account ending in 0729,448.37,other
2,2025-05-02,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,7.0,dining
3,2025-05-02,  ANTONIO S PIZZA 31 NORTH PLEASANT ST AMHERST 01002 MA USA 2%,12.81,dining
4,2025-05-03,  ANTONIO S PIZZA 31 NORTH PLEASANT ST AMHERST 01002 MA USA 2%,9.87,dining
5,2025-05-03,  QLT*Toy Box 201 North Pleasant St Amherst 01002 MA USA 2%,12.74,shopping
6,2025-05-03,  CTLP*Berkshire Natural351 PLEASANT ST #328 NORTHAMPTON 01002 MA USA 2%,1.5,dining
7,2025-05-03,  RUSSELLS LIQUORS 18 MAIN ST AMHERST 01002 MA USA 2%,11.55,dining
8,2025-05-04,  TST*CUSHMAN MARKET AND491 Pine St Amherst 01002 MA USA 2%,43.3,dining
9,2025-05-05,  PEOPLES ORGANIC 1 CAMPUS CENTER WAY AMHERST 01003 MA USA 2%,4.75,dining
10,2025-05-06,  LIBRARY CAF 1 CAMPUS CENTER WAY AMHERST 01003 MA USA 2%,2.29,dining
11,2025-05-06,  GOODWILL AMHERST 711 183 UNIVERSITY DR AMHERST 01002 MA USA 2%,2.1,shopping
12,2025-05-06,  PLAYA BOWLS - AMHERST 65 UNIVERSITY DR AMHERST 01002 MA USA 2%,13.91,dining
13,2025-05-07,  SP+AFF* AERSF.COM 650 California St. 12th Floor SAN FRANCISCO94108 CA USA 1%,55.51,shopping
14,2025-05-07,  CVS/PHARMACY #00818 76 N PLEASANT ST AMHERST 01002 MA USA 2%,11.1,health
15,2025-05-09,  LIBRARY CAF 1 CAMPUS CENTER WAY AMHERST 01003 MA USA 2%,3.49,dining
16,2025-05-09,  Cinemark 367 Russell Street Hadley 01035 MA USA 2%,29.43,entertainment
17,2025-05-10,  TST*CUSHMAN MARKET AND491 Pine St Amherst 01002 MA USA 2%,52.0,dining
18,2025-05-10,  LIBRARY CAF 1 CAMPUS CENTER WAY AMHERST 01003 MA USA 2%,3.49,dining
19,2025-05-17,  SQ *SHARE 18 Amity Street Amherst 01002 MA USA 2%,22.55,dining
20,2025-05-21,  SP+AFF* AERSF.COM 650 California St. 12th Floor SAN FRANCISCO94108 CA USA 1%,55.52,shopping
21,2025-05-24,  CTLP*IT Vending 39 JOLMA ROAD WORCESTER 01604 MA USA 2%,1.75,dining
22,2025-05-24,  LOGAN EXPR ONLINE TKTS1 HARBORSIDE DR EAST BOSTON 02128 MA USA 1%,6.0,travel
23,2025-05-24,  STARBUCKS GATE B18 BOS1 HARBORSIDE DRIVE EAST BOSTON 02128 MA USA 1%,12.2,dining
24,2025-05-24,  TST*SOUTH STREET DINER178 Kneeland St Boston 02111 MA USA 2%,55.31,dining
25,2025-05-24,  MBTA-550018258487-064118 TREMONT ST STE100 BOSTON 02116 MA USA 2%,2.4,travel
26,2025-05-27,  CHEESECAKE AVENTURA 19501 BISCAYNE BLVD AVENTURA 33180 FL USA 2%,15.8,dining
27,,Daily Cash from Apple Card,7.71,other
28,,—,0.0,other
