Unnamed: 0,date,description,amount,label
0,,Previous Monthly Balance,0.0,utilities
1,2025-07-27,  ACH Deposit Internet transfer from account ending in 0729,1641.84,shopping
2,2025-06-30,  LIBERTY MUTUAL 175 BERKELEY ST 888-398-8924 02116 MA USA 1%,367.29,shopping
3,2025-06-30,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,40.24,shopping
4,2025-07-01,  SQ *SHARE 150 Main Street Northampton 01060 MA USA 2%,7.75,utilities
5,2025-07-01,  CVS/PHARMACY #01893 90 MAIN ST NORTHAMPTON 01060 MA USA 1%,6.07,shopping
6,2025-07-01,  SHOP THERAPY-NORTHAMPT189 MAIN STREET NORTHAMPTON 01060 MA USA 2%,8.55,shopping
7,2025-07-01,  LYFT *1 RIDE 07-01 548 Market St. Ste 68514 SAN FRANCISCO94104 CA USA 2%,15.96,dining
8,2025-07-01,  INN ON BOLTWOOD F&B 30 BOLTWOOD AVENUE AMHERST 01002 MA USA 1%,116.16,dining
9,2025-07-02,  MCDONALDS F35391 374 RUSSELL ST HADLEY 01035 MA USA 2%,4.8,grocery
10,2025-07-02,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,17.59,shopping
11,2025-07-03,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,4.75,utilities
12,2025-07-03,  MYSTERY TRAIN RECORDS 178A N PLEASANT ST CUSHMAN 01002 MA USA 2%,4.25,utilites
13,2025-07-08,  CVS/PHARMACY #00818 76 N PLEASANT ST AMHERST 01002 MA USA 2%,7.94,utilities
14,2025-07-10,  SQ *ONLY KEBAB LLC 373 Main Street Amherst 01002 MA USA 2%,24.55,label dining
15,2025-07-11,  CVS/PHARMACY #00818 76 N PLEASANT ST AMHERST 01002 MA USA 2%,10.12,"grocery
"
16,2025-07-11,  BIG Y 46 AMHERST 175 UNIVERSITY DR AMHERST 01002 MA USA 2%,4.22,utilites
17,2025-07-11,  ANTONIO S PIZZA 31 NORTH PLEASANT ST AMHERST 01002 MA USA 2%,6.65,"dining
"
18,2025-07-11,  TST*STACKERS PUB 57 North Pleasant Street Amherst 01002 MA USA 1%,17.69,utilites
19,2025-07-11,  TST*STACKERS PUB 57 North Pleasant Street Amherst 01002 MA USA 1%,6.0,utilities
20,2025-07-11,  TST*STACKERS PUB 57 North Pleasant Street Amherst 01002 MA USA 1%,6.15,utilities
21,2025-07-12,  SQ *FAMILIARS COFFEE &6 Strong Ave Northampton 01060 MA USA 2%,42.86,dining
22,2025-07-12,  URBAN OUTFITTERS 00124109 Main Street NORTHAMPTON 01060-3145MA USA 2%,12.75,dining
23,2025-07-13,  JERSEY MIKES 16055 335 RUSSELL S HADLEY 01035 MA USA 2%,25.29,dining
24,2025-07-13,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,73.51,shopping
25,2025-07-13,  WAL-MART #2683 337 RUSSELL ST HADLEY 01035 MA USA 1%,22.7,shopping
26,2025-07-13,  WHOLEFDS HAD 10012 RT 9 RUSSELL ST HADLEY 01035 MA USA 2%,61.76,shopping
27,2025-07-13,  LYFT *1 RIDE 07-13 548 Market St. Ste 68514 SAN FRANCISCO94104 CA USA 2%,9.96,dining
28,2025-07-14,  BYT* PVTA 55 FRANK B. MURRAY ST SPRINGFIELD 01103 MA USA 2%,18.0,utilites
29,2025-07-14,  SWEETGREEN BOY 659 Boylston St. BOSTON 02116 MA USA 2%,36.71,grocery
30,2025-07-14,  LYFT *3 RIDES 07-14 548 Market St. Ste 68514 SAN FRANCISCO94104 CA USA 2%,69.75,dining
31,2025-07-14,  SQ *BLANK STREET COFFE647 Boylston Street Boston 02116 MA USA 2%,3.13,shopping
32,2025-07-15,  PMUSA 717033 UNIVERSIT1100 SPRING ST NW ATLANTA 30309 GA USA 2%,9.2,utilities
33,2025-07-15,  SQ *ANA BANDEIRA CHOCO48 Main St Northampton 01060 MA USA 2%,4.55,grocery
34,2025-07-15,  AUTOZONE #6494 373 NORTHAMPTON RD AMHERST 10020 NY USA 2%,50.99,shopping
35,2025-07-15,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,5.99,shopping
36,2025-07-17,  DUNKIN #336815 Q35 312 COLLEGE ST AMHERST 01002 MA USA 2%,5.76,utilities
37,2025-07-17,  AMHERST AUTO EXPRESS 118 SOUTH EAST STREET AMHERST 01002 MA USA 2%,35.0,utilities
38,2025-07-17,  SHELL OIL 10004579008 95 WEST ST CHICOPEE 01013 MA USA 1%,23.0,utilites
39,2025-07-17,  CHICK-FIL-A #03279 501 MEMORIAL DRIVE CHICOPEE 01020 MA USA 2%,14.07,dining
40,2025-07-19,  SHELL OIL 10005423008 144 THORNDIKE STREET PALMER 01069 MA USA 1%,20.07,utilites
41,2025-07-19,  IKEA STOUGHTON REST 1 IKEA WAY STOUGHTON 02072 MA USA 2%,35.59,shopping
42,2025-07-19,  IKEA STOUGHTON 1 IKEA WAY STOUGHTON 02072 MA USA 2%,158.09,shopping
43,2025-07-19,  TST*FARO CAFE LLC 5 Arrow St Cambridge 02138 MA USA 2%,14.32,dining
44,2025-07-21,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,74.33,shopping
45,2025-07-21,  SQ *MILL VALLEY MILK S102 Mill Valley Rd. Hadley 01035 MA USA 2%,30.34,grocery
46,2025-07-22,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 1%,18.03,shopping
47,2025-07-22,  THE HOME DEPOT #8452 350 RUSSELL STREET HADLEY 010350000 MA USA 2%,5.68,utilites
48,2025-07-23,  SQ *ONLY KEBAB LLC 373 Main Street Amherst 01002 MA USA 2%,13.96,label dining
49,2025-07-23,  SQ *AMHERST COFFEE + B28 Amity Street Amherst 01002 MA USA 2%,10.7,shopping
50,2025-07-24,  WHOLEFDS HAD 10012 RT 9 RUSSELL ST HADLEY 01035 MA USA 2%,7.99,utilites
51,2025-07-25,  CVS/PHARMACY #01095 165 UNIVERSITY DR AMHERST 01002 MA USA 2%,4.7,utilites
52,2025-07-25,  EXXON GIBBS HADLEY 110 RUSSELL STREET HADLEY 01035 MA USA 2%,31.25,utilities
53,,3% Daily Cash at Exxon Mobil 1%,0.31,utilities
54,2025-07-25,  WHOLEFDS HAD 10012 RT 9 RUSSELL ST HADLEY 01035 MA USA 2%,12.42,utilites
55,2025-07-25,  DOLLAR TREE 458 RUSSELL ST STE 8 STE 8 HADLEY 01035 MA USA 2%,2.66,dining
56,2025-07-27,  WHOLEFDS HAD 10012 RT 9 RUSSELL ST HADLEY 01035 MA USA 2%,149.63,utilites
57,2025-07-27,  SQ *MILL VALLEY MILK S102 Mill Valley Rd. Hadley 01035 MA USA 2%,18.5,utilites
58,2025-07-27,  THE HOME DEPOT #8452 350 RUSSELL STREET HADLEY 010350000 MA USA 2%,14.83,utilites
59,2025-07-27,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,12.49,shopping
60,2025-07-28,  SQ *MAPLE VALLEY CREAM102 Mill Valley Rd HADLEY 01035 MA USA 2%,6.5,shopping
61,2025-07-30,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,18.17,shopping
62,2025-07-30,  STOP & SHOP 0095 440 RUSSELL ST. HADLEY 01035 MA USA 2%,29.06,shopping
63,,Daily Cash from Apple Card,32.11,utilities
64,,—,0.0,other
