Unnamed: 0,date,description,amount,label
0,,Previous Monthly Balance,0.0,utilities
1,2025-06-29,  ACH Deposit Internet transfer from account ending in 0729,2925.98,shopping
2,2025-05-30,  APPLE STORE #R087 19575 Biscayne Blvd 1155 AVENTURA 33180 FL USA 3%,9.63,shopping
3,2025-06-01,  SQ *JET RAG 825 North La Brea LOS ANGELES 90038 CA USA 2%,13.17,shopping
4,2025-06-01,  WAYMO 1600 AMPHITHEATRE PARKWA 8442613753 94043 CA USA 2%,10.74,utilities
5,2025-06-02,  EREWHON BEVERLY HILL 339 N BEVERLY DR BEVERLY HILLS90210 CA USA 2%,58.77,shopping
6,2025-06-02,  SQ *AVVA COFFEE - BEVE9559 S Santa Monica Blvd Beverly Hills90210 CA USA 2%,20.36,dining
7,2025-06-03,  MCDONALDS M2942 OF 10901 RIVERSIDE DR NORTH HOLLYWO91602 CA USA 2%,8.3,grocery
8,2025-06-03,  EATALY LA PIPA 10250 SANTA MONICA BLVD LOS ANGELES 90067 CA USA 2%,48.62,dining
9,2025-06-06,  DLR LIGHTNING LANE 1313 S HARBOR BLVD ANAHEIM 92802 CA USA 2%,56.0,shopping
10,2025-06-07,  SHUTTERS ON THE BEACH 1 PICO BOULEVARD SANTA MONICA 90405 CA USA 1%,2288.57,shopping
11,2025-06-09,  TST* TATTE BAKERY PIER200 PIER 4 BLVD BOSTON 02210 MA USA 2%,21.94,dining
12,2025-06-09,  ATKINS FARMS 1150 WEST ST AMHERST 01002 MA USA 2%,65.4,"grocery
"
13,2025-06-09,  ATKINS FARMS 1150 WEST ST AMHERST 01002 MA USA 2%,10.92,grocery
14,2025-06-11,  TST*TEN ONE TEAHOUSE A48 N Pleasant St Amherst 01002 MA USA 2%,7.43,dining
15,2025-06-11,  SQ *ONLY KEBAB LLC 12 University Drive Amherst 01002 MA USA 2%,26.73,label dining
16,2025-06-13,  HARVEST 1 CAMPUS CENTER WAY AMHERST 01003 MA USA 2%,10.11,utilities
17,2025-06-21,  WHOLEFDS HAD 10012 RT 9 RUSSELL ST HADLEY 01035 MA USA 2%,30.93,utilities
18,2025-06-22,  WAL-MART #2683 337 RUSSELL STREET HADLEY 01035 MA USA 1%,51.85,shopping
19,2025-06-23,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,172.76,shopping
20,2025-06-26,  MBTA MTICKET 10 PARK PLZ BOSTON 02116 MA USA 2%,4.75,utilites
21,2025-06-26,  BYT* PVTA 55 FRANK B. MURRAY ST SPRINGFIELD 01103 MA USA 2%,9.0,utilities
22,,Daily Cash from Apple Card,35.23,utilities
23,,—,0.0,other
