Unnamed: 0,date,description,amount,label
0,,Previous Monthly Balance,249.18,"other
"
1,2025-08-25,  ACH Deposit Internet transfer from account ending in 0729,5015.88,"other
"
2,2025-07-31,  SQ *CORONATION CAFE 103 N Pleasant St Amherst 01002 MA USA 2%,13.09,dining
3,2025-07-31,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,3.0,"subscription
"
4,2025-07-31,  AUTOZONE #6494 373 NORTHAMPTON RD AMHERST 10020 NY USA 2%,15.93,"shopping
"
5,2025-07-31,  GOODWILL AMHERST 711 183 UNIVERSITY DR AMHERST 01002 MA USA 2%,16.69,"shopping
"
6,2025-08-01,  FILOS GREEK TAVERNA 279 MAIN ST NORTHAMPTON 01060 MA USA 2%,44.46,dining
7,2025-08-01,  TST*WOODSTAR 2 60 Masonic St STE D Northampton 01060 MA USA 2%,12.89,dining
8,2025-08-01,  INTERSKATE91 - NORTH (367 RUSSELL ST # M1 HADLEY 01035 MA USA 2%,44.01,"shopping
"
9,2025-08-01,  TARGET 00018390367 RUSSELL ST HADLEY 01035 MA USA 2%,46.2,"shopping
"
10,2025-08-02,  SQ *PARK HILL ORCHARD 82 Park Hill Road Easthampton 01027 MA USA 2%,17.0,"shopping
"
11,2025-08-02,  TST*CUSHMAN MARKET AND491 Pine St Amherst 01002 MA USA 2%,33.66,"grocery
"
12,2025-08-02,  EXXON 142 MOHAWK TRAIL142 MOHAWK TRAIL GREENFIELD 01301 MA USA 2%,8.49,"other
"
13,,3% Daily Cash at Exxon Mobil 1%,0.08,"utilites
"
14,2025-08-02,  ANTONIO S PIZZA 31 NORTH PLEASANT ST AMHERST 01002 MA USA 2%,5.22,"dining
"
15,2025-08-02,  AMHERST MARKET 259 TRIANGLE ST AMHERST 01002 MA USA 2%,5.1,"grocery
"
16,2025-08-03,  PANERA BREAD #203427 K351 RUSSELL ST HADLEY 01035 MA USA 2%,17.94,dining
17,2025-08-03,  HARBOR FREIGHT TOOLS30303 RUSSELL STREET HADLEY 01035 MA USA 2%,15.92,"shopping
"
18,2025-08-03,  WHOLEFDS HAD 10012 RT 9 RUSSELL ST HADLEY 01035 MA USA 2%,57.13,dining
19,2025-08-03,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,8.09,"shopping
"
20,2025-08-03,  AMHERST MARKET 259 TRIANGLE ST AMHERST 01002 MA USA 2%,18.28,"grocery
"
21,2025-08-04,  DUNKIN #336815 Q35 312 COLLEGE ST AMHERST 01002 MA USA 2%,7.79,"dining
"
22,2025-08-04,"  Hotel at Booking.com Trust Center, 1209 Orange Street Wilmington, N19801 DE USA 1%",443.4,"travel
"
23,2025-08-04,  STP&SHPFUEL0095 440 RUSSELL ST. HADLEY 01035 MA USA 2%,20.51,"utilites
"
24,2025-08-06,  AUTOZONE #6494 373 NORTHAMPTON RD AMHERST 10020 NY USA 2%,73.81,"shopping
"
25,2025-08-06,  LIA HONDA NORTHAMPTON 293 King St NORTHAMPTON 01060 MA USA 2%,136.16,"shopping
"
26,2025-08-06,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,20.48,"shopping
"
27,2025-08-06,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,17.84,"shopping
"
28,2025-08-07,  SIREN47906 61 9th Ave NEW YORK 10011 NY USA 2%,14.71,dining
29,2025-08-07,  SEPHORA MEATPACKING 21-27 Ninth Avenue NEW YORK 10014 NY USA 2%,39.2,"shopping
"
30,2025-08-07,  PATH TAPP PAYGO CP 1 PATH Plaza 1st Fl NEW JERSEY 07306 NJ USA 2%,3.0,"other
"
31,2025-08-07,  PALM GROVE FOOD PLAZA 4622 BERGENLINE AVE UNION CITY 07087-5110NJ USA 2%,3.68,"grocery
"
32,2025-08-08,  SQ *FABRIQUE 348 West 14th Street New York 10014 NY USA 2%,24.5,"shopping
"
33,2025-08-08,  202 SUPER CONVENIENCE 202 AVENUE OF THE AMERICA NEW YORK 10013 NY USA 2%,3.12,"grocery
"
34,2025-08-08,  SQ *DRIP DROP CAFE 80 Pearl Street Brooklyn 11201 NY USA 2%,9.53,dining
35,2025-08-09,  MTA*NYCT PAYGO 2 BROADWAY NEW YORK 10004 NY USA 2%,2.9,"transportation
"
36,2025-08-09,"  BKG*HOTEL AT BOOKING.C28 LIBERTY STREET, 29TH 8888503958 10005 NY USA 1%",531.14,"travel
"
37,2025-08-09,  SHAKE SHACK 1101 1133 Broadway Ste 640 NEW YORK NY 10010 NY USA 2%,26.11,dining
38,2025-08-09,  TARGET 00034116600 BROADWAY NEW YORK 10012 NY USA 2%,5.74,"shopping
"
39,2025-08-09,  BUCK MASON 7175 W. Willoughby Avenue LOS ANGELES 90046 CA USA 2%,103.0,"dining
"
40,2025-08-09,  MULBERRY ICONIC MAGAZI188 MULBERRY STREET NEW YORK 10012 NY USA 2%,26.0,"shopping
"
41,2025-08-09,  MULBERRY MARKET #2308 251 MULBERRY ST NEW YORK 10012 NY USA 2%,16.6,"shopping
"
42,2025-08-09,  LYFT *1 RIDE 08-09 548 Market St. Ste 68514 SAN FRANCISCO94104 CA USA 2%,20.44,"travel
"
43,2025-08-10,  MTA*NYCT PAYGO 2 BROADWAY NEW YORK 10004 NY USA 2%,2.9,"other
"
44,2025-08-10,  Subway 34267 1 Union Place Hartford 06103 CT USA 2%,14.67,dining
45,2025-08-10,  Partners on Booking BVWeteringschans 28 Amsterdam 1017 SG NLDNLD 1%,264.35,"other
"
46,2025-08-11,  FISHER AUTO PARTS 815 205 UNIVERSITY DR AMHERST 01002 MA USA 2%,33.97,"shopping
"
47,2025-08-11,  HARBOR FREIGHT TOOLS30303 RUSSELL STREET HADLEY 01035 MA USA 2%,36.32,"shopping
"
48,2025-08-11,  TARGET 00018390367 RUSSELL ST HADLEY 01035 MA USA (RETURN),27.62,"shopping
"
49,,Daily Cash Adjustment -2%,0.55,"other
"
50,2025-08-11,  HARBOR FREIGHT TOOLS30303 RUSSELL STREET HADLEY 01035 MA USA 1%,62.35,"shopping
"
51,2025-08-12,  RAISING CANES 0676 755 Boylston Street BOSTON 02116 MA USA 2%,12.19,"grocery
"
52,2025-08-12,  SQ *JAHO COFFEE ROASTE15 Kensington Street Boston 02119 MA USA 2%,5.0,dining
53,2025-08-12,  THE ARCADIAN HOTEL BRO1200 BEACON ST BROOKLINE 02446-3803MA USA 2%,38.0,"travel
"
