Unnamed: 0,date,description,amount,label
0,,Previous Monthly Balance,0.0,"9
"
1,2025-03-17,  Daily Cash redemption,1.21,"other
"
2,2025-03-10,  SQ *SHELBURNE FALLS CO327 Russell Street Hadley 01035 MA USA 2%,4.11,"other
"
3,2025-03-12,  UMA PHARMACY 150 INFIRMARY WAY AMHERST 01003 MA USA 2%,10.13,"health
"
4,2025-03-12,"  PETER PAN BUS LINES, I1 PETER PAN WAY SPRINGFIELD 01103 MA USA 1%",45.63,"travel
"
5,2025-03-13,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,12.0,"subscription
"
6,2025-03-13,  INSOMNIA COOKIES-AMHER30 Main Street AMHERST 01002 MA USA 2%,8.56,"grocery
"
7,2025-03-14,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,3.0,"subscription
"
8,2025-03-27,  LIQUORS 44 HADLEY 4589 CAMPUS PLAZA RTE 9 HADLEY 01035 MA USA 2%,11.79,dining
9,2025-03-28,  SQ *ONLY KEBAB LLC 222-272 North Pleasant Street Amherst 01002 MA USA 1%,10.61,"dining
"
10,2025-03-28,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,4.2,"subscription
"
11,2025-03-28,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 1%,5.94,"subscription
"
12,2025-03-29,  HARVEST 1 CAMPUS CENTER WAY AMHERST 01003 MA USA 2%,15.82,"other
"
13,2025-03-29,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 1%,4.0,"subscription
"
14,2025-03-30,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,85.62,"shopping
"
15,,Daily Cash from Apple Card,3.77,"other
"
16,,—,0.0,"9
"
