Unnamed: 0,date,description,amount,label
0,,Previous Monthly Balance,233.41,"other
"
1,2025-10-31,  ACH Deposit Internet transfer from account ending in 1624,233.41,"utilites
"
2,2025-09-30,  DUNKIN #343313 Q35 175 UNIVERSITY DR AMHERST 01002 MA USA 2%,12.17,dining
3,2025-10-01,  TST* LE PAIN QUOTIDIEN370 LEXINGTON AVE NEW YORK 10017 NY USA 2%,14.97,dining
4,2025-10-01,  SP STUSSY NEW YORK 176 Spring Street NEW YORK 10012 NY USA 2%,402.85,"shopping
"
5,2025-10-01,  MTA*MNR STATION TIX 420 LEXINGTON AVE NEW YORK 10170 NY USA 2%,19.25,transportation
6,2025-10-01,  SHELL OIL 575429194QPS168 BRIDGE ST EAST WINDSOR 06088 CT USA 1%,15.4,"other
"
7,2025-10-02,  SQ *ONLY KEBAB LLC 15 Colonial Court Amherst 01002 MA USA 2%,18.29,"other
"
8,2025-10-03,  COURTSIDE CAF 161 COMMONWEALTH AVE AMHERST 01003 MA USA 2%,8.5,dining
9,2025-10-03,  SQ *HUNGRY GHOST BREAD62 State St Northampton 01060 MA USA 2%,11.0,"grocery
"
10,2025-10-03,  QLT*Downtown Sounds 21 Pleasant St. Northampton 01060 MA USA 2%,8.49,"entertainment
"
11,2025-10-03,  SPENCER GIFTS 100 50 HOLYOKE ST. SP#B-313 630-393-2600 01040 MA USA 2%,23.35,"shopping
"
12,2025-10-03,  CHARLEYS PHILLY STEAKS50 HOLYOKE ST #R118 HOLYOKE 01040 MA USA 2%,10.68,dining
13,2025-10-04,  TST*WOODSTAR 2 60 Masonic St STE D Northampton 01060 MA USA 2%,5.51,"shopping
"
14,2025-10-04,  BIG Y EXPRESS #92 73 RUSSELL ST HADLEY 01035 MA USA 2%,10.04,"grocery
"
15,2025-10-04,  MULLINS CONCESSIONS 200 COMMONWEALTH AVE AMHERST 01003 MA USA 2%,4.0,"shopping
"
16,2025-10-08,  LIBRARY CAF 1 CAMPUS CENTER WAY AMHERST 01003 MA USA 2%,3.75,"dining
"
17,2025-10-08,  CTLP*SERVOMATION REFRE111 LUMBER ST CANASTOTA 01003 NY USA 2%,3.65,"other
"
18,2025-10-08,  TARGET 0001232850 HOLYOKE ST HOLYOKE 01041 MA USA 2%,19.11,"shopping
"
19,2025-10-09,  STOP & SHOP 0095 440 RUSSELL ST. HADLEY 01035 MA USA 2%,27.65,"grocery
"
20,2025-10-10,  LOCAL BURGER 16 MAIN STREET NORTHAMPTON 01060 MA USA 1%,20.31,"dining
"
21,2025-10-10,  TST*BISTRO 63 63 N Pleasant St Address Amherst 01002 MA USA 2%,11.94,"dining
"
22,2025-10-11,  MCDONALDS F35391 374 RUSSELL ST HADLEY 01035 MA USA 2%,8.22,"dining
"
23,2025-10-11,  TST*TEN ONE TEAHOUSE A48 N Pleasant St Amherst 01002 MA USA 2%,6.36,dining
24,2025-10-11,  RAISING CANES 0938 90 Elm Street ENFIELD 06082 CT USA 2%,13.41,"grocery
"
25,2025-10-11,  STP&SHPFUEL0095 440 RUSSELL ST. HADLEY 01035 MA USA 2%,43.97,"utilites
"
26,2025-10-11,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,9.78,"shopping
"
27,2025-10-12,  MISS SAIGON CORPORATIO96 N PLEASANT ST STE 5 AMHERST 01002 MA USA 2%,90.81,dining
28,2025-10-12,  TST*TEN ONE TEAHOUSE A48 N Pleasant St Amherst 01002 MA USA 2%,12.72,dining
29,2025-10-13,  TST*CUSHMAN MARKET AND491 Pine St Amherst 01002 MA USA 2%,42.58,"grocery
"
30,2025-10-13,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,38.22,"shopping
"
31,2025-10-13,  TARGET 00018390367 RUSSELL ST HADLEY 01035 MA USA 2%,50.65,"shopping
"
32,2025-10-15,  TST*WOODSTAR 2 60 Masonic St STE D Northampton 01060 MA USA 2%,19.43,dining
33,2025-10-16,  PEOPLES ORGANIC 1 CAMPUS CENTER WAY AMHERST 01003 MA USA 2%,6.25,"grocery
"
34,2025-10-16,  HARVEST 1 CAMPUS CENTER WAY AMHERST 01003 MA USA 2%,12.78,"other
"
35,2025-10-17,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,7.0,"subscription
"
36,2025-10-17,  HANGAR PUB WINGS AMHER10 UNIVERSITY DR AMHERST 01002 MA USA 1%,77.4,"dining
"
37,2025-10-18,  SQ *ONLY KEBAB LLC 15 Colonial Court Amherst 01002 MA USA 2%,8.88,"other
"
38,2025-10-19,  SQ *VERMONT COUNTRY DE436 WESTERN AVE Brattleboro 05301 VT USA 2%,35.88,dining
39,2025-10-19,  VT COUNTRY STORE WESTO657 Main St WESTON 05161 VT USA 2%,16.39,"grocery
"
40,2025-10-19,  SHELL OIL 575428619QPS129 MAIN ST LUDLOW 05149 VT USA 2%,1.99,"other
"
41,2025-10-20,  COURTSIDE CAF 161 COMMONWEALTH AVE AMHERST 01003 MA USA 2%,8.5,dining
42,2025-10-20,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,20.64,"shopping
"
43,2025-10-20,  MARSHALLS #838 325 RUSSELL ST STE A HADLEY 01035 MA USA 2%,34.99,"shopping
"
44,2025-10-21,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,8.5,"subscription
"
45,2025-10-22,  LIBRARY CAF 1 CAMPUS CENTER WAY AMHERST 01003 MA USA 2%,3.75,"dining
"
46,2025-10-23,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,7.5,"subscription
"
47,2025-10-23,  USPS PO 2401360002 145 UNIVERSITY DR AMHERST 01002 MA USA 2%,20.89,"other
"
48,2025-10-24,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,9.5,"subscription
"
49,2025-10-24,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,15.8,"subscription
"
50,2025-10-25,  STP&SHPFUEL0095 440 RUSSELL ST. HADLEY 01035 MA USA 2%,42.79,"utilites
"
51,2025-10-25,  ULTA 1672 335 RUSSEL STREET HADLEY 01035 MA USA 2%,37.2,"shopping
"
52,2025-10-25,  WHOLEFDS HAD 10012 RT 9 RUSSELL ST HADLEY 01035 MA USA 2%,22.47,"other
"
53,2025-10-25,  IYZICO *gain.tv KUZGUNCUK MAH KUZGUNCUK GAZHANESI SK NO: 2 /1 ISTANBUL 34746 1%,5.98,"subscription
"
54,2025-10-26,  ROOTS CAFE 140 HICKS WAY AMHERST 01003 MA USA 2%,10.5,"dining
"
55,2025-10-28,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,40.86,"shopping
"
56,2025-10-29,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,6.95,"subscription
"
57,2025-10-30,  TARGET 00018390367 RUSSELL ST HADLEY 01035 MA USA 2%,11.66,"shopping
"
58,2025-10-30,  SPIRIT HALLOWEEN 71073327 Russell Street PEABODY 01035 MA USA 2%,10.0,dining
59,2025-10-30,  HADLEY 44 CORPORATION 458 RUSSELL STREET HADLEY 01035 MA USA 2%,36.76,dining
60,,Daily Cash from Apple Card,29.01,"dining
"
61,,—,0.0,"9
"
